Title,channel_title,published_at,category_id,view_count,like_count,comment_count,duration,definition,caption,engagement_rate,likes_to_views_ratio,comments_to_views_ratio,duration_seconds,video_age_days,category_name,duration_label,is_view_outlier,has_zero_views,is_title_duplicate,views_per_day,engagement_tier,is_hd
"I entered the most restricted and sanctioned country in europe, Russia #minivlog #travel #ytshorts",wittySpace,2025-09-18 14:42:30+00:00,22,17758509,513021,1254,PT1M10S,hd,False,0.02895935526,0.02888874123,7.06e-05,70,60,People & Blogs,Medium (1–5 min),False,False,False,295975.15,Medium,True
"Unboxing the $22,000 Emirates FIRST Class!",Dhruv Rathee Vlogs,2023-01-11 16:20:00+00:00,22,9473272,158788,5546,PT15M19S,hd,True,0.01734711963,0.01676168311,0.0005854365223,919,1041,People & Blogs,Long (5–20 min),False,False,False,9100.17,Low,True
Banaras vlog. #minivlog #minitravelvlog #travelvideo #vlog #minitrip #travelvlog #food #tripvlog,Ravi Gupta Shorts,2024-01-30 08:50:10+00:00,23,11263666,484183,2584,PT1M1S,hd,False,0.04321567745,0.04298626726,0.0002294101912,61,658,Comedy,Medium (1–5 min),False,False,False,17118.03,Medium,True
Charusheela going to Bangalore | Telugu mini vlogs | Travel vlogs | Telugu comedy vlogs | Tejaswi,TEJASWI ANUMOLE,2024-11-23 11:39:45+00:00,23,12047447,285946,606,PT1M,hd,False,0.02378528631,0.0237349852,5.03e-05,60,359,Comedy,Medium (1–5 min),False,False,False,33558.35,Medium,True
50 Best Places to Visit in the USA - Travel Video,touropia,2023-11-22 18:05:02+00:00,19,9071996,51323,1895,PT56M50S,hd,False,0.005866183598,0.005657299049,0.0002088845488,3410,726,Travel & Events,Very Long (> 20 min),False,False,False,12495.86,Low,True
How many flags can you count? #travel #travelamore #traveling #travelvlog #trending #2024 #recap,Aakanksha Monga,2024-12-24 12:51:10+00:00,19,12243110,295266,3444,PT14S,hd,False,0.02439821055,0.0241169095,0.0002813010517,14,328,Travel & Events,Short (< 1 min),False,False,False,37326.55,Medium,True
A Police Fine In Thailand #thailand #travel #vlog,Dean McGarry,2025-01-11 10:15:26+00:00,22,8809956,451715,6610,PT1M4S,hd,False,0.05202352293,0.0512732355,0.0007502874305,64,311,People & Blogs,Medium (1–5 min),False,False,False,28327.83,High,True
Breakfast #miniblog #bengali #kolkata #youtubeshorts #viral #bongjuti #travel #foodblogger,The Bong Juti,2024-04-26 02:52:28+00:00,22,10899109,314198,1102,PT59S,hd,False,0.02892896759,0.02882785842,0.0001011091731,59,571,People & Blogs,Short (< 1 min),False,False,False,19087.76,Medium,True
UNSEEN WONDERS | Hidden Places Even Locals Can’t Believe Exist | Travel Video 4K,New Travel Insight,2025-04-10 11:27:27+00:00,19,8674561,21963,1282,PT1H11M2S,hd,False,0.002679674201,0.00253188576,0.0001477884417,4262,221,Travel & Events,Very Long (> 20 min),False,False,False,39251.41,Low,True
Pakistan India border 😱😱⛰️ #mountainswiev #mountains #nature #travel #vlog #adventure,Towards_nature,2025-08-08 14:22:50+00:00,22,19417681,107340,267,PT8S,hd,False,0.005541701631,0.005527951277,1.38e-05,8,101,People & Blogs,Short (< 1 min),False,False,False,192254.27,Low,True
Making a beat with a BABY! 😭🤣 #beatbox #musicproduction #loopstation,SungBeats,2024-08-02 17:58:36+00:00,10,369731024,3802072,22123,PT21S,hd,False,0.01034318124,0.01028334585,5.98e-05,21,472,Music,Short (< 1 min),True,False,False,783328.44,Low,True
"Jax Jones - Instruction ft. Demi Lovato, Stefflon Don",JaxJonesVEVO,2017-08-02 15:00:02+00:00,10,177942162,1638800,30054,PT2M58S,hd,True,0.00937863164,0.009209734064,0.000168897576,178,3029,Music,Medium (1–5 min),True,False,False,58746.17,Low,True
"HOW CHARLIE PUTH PRODUCED ""LIGHT SWITCH"" #charlieputh  #musicproducer",HOW SONGS ARE PRODUCED,2024-11-18 21:10:32+00:00,10,61537555,1843010,5019,PT1M5S,hd,False,0.03003091315,0.0299493532,8.16e-05,65,364,Music,Medium (1–5 min),True,False,False,169059.22,Medium,True
